taxon,clade,dna_id,voucher_published source,its,b-tubulin,COR1B,COR3,COR16,rbclx,rbclx_phylogroup_haplotype,name_on_the_tree
P. praetextata (Flörke ex Sommerf.) Zopf,9,P0570,"Norway, Magain s.n., LG",MH758515,KM005829,MH770231,MH770485,MH769986,MH770789,XLII,9P_praetextata_Norway_P0570 
P. praetextata (Flörke ex Sommerf.) Zopf,9,P0622,"Norway, Magain s.n., LG",MH758516,MH770995,MH770232,MH770486,MH769987,---,N/A,9P_praetextata_Norway_P0622 
P. praetextata (Flörke ex Sommerf.) Zopf,9,P1515,"China: Yunnan, Miadlikowska s.n., DUKE 0357961",MH758513,MH770996,MH770233,MH770487,MH769988,MH770792,XXXIIa,9P_praetextata_China_P1515 
P. praetextata (Flörke ex Sommerf.) Zopf,9,P2025,"Russia: Karachaevo-Cherkesiya Republic, Zhurbenko s.n., DUKE 0357996",MH758518,MH770997,MH770234,MH770488,MH769989,MH770793,V,9P_praetextata_Russia_P2025 
P. praetextata (Flörke ex Sommerf.) Zopf,9,P2088,"USA: NY, Buck 54040, NY 01077051",MH758521,MH770998,MH770235,MH770489,MH769990,MH770794,V,9P_praetextata_USA_P2088 
P. praetextata (Flörke ex Sommerf.) Zopf,9,P2092,"USA: ME, Harris 53056, DUKE 0138948",MH758522,MH771000,MH770237,MH770490,MH769991,MH770795,V,9P_praetextata_USA_P2092 
P. praetextata (Flörke ex Sommerf.) Zopf,9,P2096,"India: Himachal Pradesh, Divakar s.n., MAF",MH758514,MH771001,---,MH770491,MH769992,MH770796,XXXIIa,9P_praetextata_India_P2096 
P. praetextata (Flörke ex Sommerf.) Zopf,9,P2226,"USA: MI, Miadlikowska & Lutzoni s.n., DUKE 0357993",MH758523,MH771002,MH770238,MH770492,MH769993,MH770797,V,9P_praetextata_USA_P2226 
P. praetextata (Flörke ex Sommerf.) Zopf,9,P2227,"Russia: Khabarovsk Territory, Miadlikowska & Lutzoni s.n., DUKE 0401831",MH758519,MH771003,MH770239,MH770493,MH769994,MH770798,V,9P_praetextata_Russia_P2227 
P. praetextata (Flörke ex Sommerf.) Zopf,9,P2233,"USA: AZ, Miadlikowska & Lutzoni s.n., DUKE 0401835",MH758524,MH771004,MH770240,MH770494,MH769995,MH770800,XXXVI,9P_praetextata_USA_P2233 
P. sp. 18,9,P1413,"Russia: Krasnoyarsk Territory, Zhurbenko s.n., DUKE 0357978",MH758527,MH771005,MH770241,---,MH769996,MH770801,V,9P_sp18_Russia_P1413 
P. sp. 18,9,P2094,"India: Uttarakhand, P.K. Divakar s.n., MAF",MH758526,MH771006,MH770242,MH770495,MH769997,MH770802,XXXII,9P_sp18_India_P2094 
P. sp. 19,9,P0078,"USA: OR, McCune 31048, OSC",MH758528,MH771007,MH770243,MH770496,MH769998,MH770803,VI,9P_sp19_USA_P0078 
P. sp. 19,9,P1230,"USA: OR, McCune 26686, OSC",MH758529,MH771008,MH770244,MH770497,MH769999,MH770804,VI,9P_sp19_USA_P1230 
P. sp. 19,9,P2030,"USA: OR, McCune 30122, OSC",MH758530,MH771009,MH770245,MH770498,MH770000,MH770805,VI,9P_sp19_USA_P2030 
P. sp. 20,9,HOB14,"Canada: BC, O'Brien & al. 2013",FJ708909,FJ709455,MH770246,MH770499,MH770001,KC437728,VI,9P_sp20_CanadaBC_HOB0306111004 
P. sp. 20,9,HOB15,"Canada: BC, O'Brien & al. 2013",FJ708907,FJ709453,MH770247,MH770500,MH770002,---,N/A,9P_sp20_CanadaBC_HOB0207086211 
P. sp. 20,9,HOB16,"Canada: BC, O'Brien & al. 2013",FJ708908,FJ709454,MH770248,MH770501,MH770003,---,N/A,9P_sp20_CanadaBC_HOB0207086614 
P. sp. 20,9,HOB17,"Canada: BC, O'Brien & al. 2013",FJ708910,FJ709456,MH770249,---,MH770004,---,N/A,9P_sp20_CanadaBC_HOB0306111053 
P. sp. 21,9,P2218,"USA: AZ, Miadlikowska & Lutzoni s.n., DUKE 0401825",MH758525,MH771010,MH770250,MH770502,MH770005,MH770806,XXXVI,9P_sp9_USA_P2218 
P. sp. 22,9,P0926,"Colombia, Lücking MPNNC122, UDBC",MH758495,---,MH770251,MH770503,MH770006,MH770807,VI,9P_sp22_Colombia_P0926 
P. sp. 22,9,P2054,"Peru, Bennett s.n., WIS",MH758498,---,MH770252,---,MH770007,MH770809,XXXIXd,9P_sp22_Peru_P2054 
P. sp. 22,9,P2077,"Colombia, Lücking MPNNC92m, UDBC",MH758497,---,MH770254,MH770505,MH770008,MH770811,XXXIX,9P_sp22_Colombia_P2077 
Peltigera aphthosa (L.) Willd.,OG,P4002,"USA: AK, Miadlikowska s.n., OSC",---,MH771012,MH770256,MH770507,MH770009,---,N/A,P4002_aphthosa
